Date,Open,High,Low,Close,Adj Close,Volume,Stock Name
,MSFT,MSFT,MSFT,MSFT,,MSFT,
2025-02-03,410.7763492208031,414.57872255523336,407.8422300476431,410.09771728515625,410.09771728515625,25679100,msft
2025-02-04,411.86416676091864,413.09171636714575,408.9200578355856,411.5447998046875,411.5447998046875,20532100,msft
2025-02-05,411.5248607564065,413.0018796658512,409.5787506797878,412.4629821777344,412.4629821777344,16316700,msft
2025-02-06,413.1715497090401,417.36315732347487,413.1715497090401,414.9879150390625,414.9879150390625,16309800,msft
2025-02-07,415.6465973451397,417.8122379259866,407.2833615993766,408.9300537109375,408.9300537109375,22886800,msft
2025-02-10,412.8821197108573,414.62861779989964,410.0977246861568,411.3951110839844,411.3951110839844,20817900,msft
2025-02-11,408.8202828688126,411.6645553606299,408.48093644203584,410.6166687011719,410.6166687011719,18140600,msft
2025-02-12,406.3951110778186,409.92803560329327,403.56079794352274,408.2214660644531,408.2214660644531,19121700,msft
2025-02-13,406.185550721702,410.17754630619044,405.54681680905935,409.7184753417969,409.7184753417969,23891700,msft
2025-02-14,406.9739674594389,408.0917213200678,405.06778596420224,407.6126708984375,407.6126708984375,22758500,msft
2025-02-18,407.18354917543536,409.7783523938356,405.6865508328786,408.8202819824219,408.8202819824219,21423100,msft
2025-02-19,407.06380569744374,414.6585628844229,406.8342549807474,413.94000244140625,413.94000244140625,24114200,msft
2025-02-20,415.2900085449219,419.30999755859375,412.5400085449219,416.1300048828125,416.1300048828125,23508700,msft
2025-02-21,417.3399963378906,418.04998779296875,407.8900146484375,408.2099914550781,408.2099914550781,27524800,msft
2025-02-24,408.510009765625,409.3699951171875,399.32000732421875,404.0,404.0,26443700,msft
2025-02-25,401.1000061035156,401.9200134277344,396.70001220703125,397.8999938964844,397.8999938964844,29387400,msft
2025-02-26,398.010009765625,403.6000061035156,394.25,399.7300109863281,399.7300109863281,19619000,msft
2025-02-27,401.2699890136719,405.739990234375,392.1700134277344,392.5299987792969,392.5299987792969,21127400,msft
2025-02-28,392.6600036621094,397.6300048828125,386.57000732421875,396.989990234375,396.989990234375,32845700,msft
2025-03-03,398.82000732421875,398.82000732421875,386.1600036621094,388.489990234375,388.489990234375,23007700,msft
2025-03-04,383.3999938964844,392.5799865722656,381.0,388.6099853515625,388.6099853515625,29342900,msft
2025-03-05,389.3399963378906,401.6700134277344,388.80999755859375,401.0199890136719,401.0199890136719,23433100,msft
2025-03-06,394.2799987792969,402.1499938964844,392.67999267578125,396.8900146484375,396.8900146484375,23304600,msft
2025-03-07,392.32000732421875,394.79998779296875,385.5400085449219,393.30999755859375,393.30999755859375,22034100,msft
2025-03-10,385.8399963378906,386.3999938964844,377.2200012207031,380.1600036621094,380.1600036621094,32840100,msft
2025-03-11,379.0,386.0,376.9100036621094,380.45001220703125,380.45001220703125,30380200,msft
2025-03-12,382.95001220703125,385.2200012207031,378.95001220703125,383.2699890136719,383.2699890136719,24253600,msft
2025-03-13,383.1600036621094,385.32000732421875,377.45001220703125,378.7699890136719,378.7699890136719,20473000,msft
2025-03-14,379.7799987792969,390.2300109863281,379.510009765625,388.55999755859375,388.55999755859375,19952800,msft
2025-03-17,386.70001220703125,392.7099914550781,385.57000732421875,388.70001220703125,388.70001220703125,22474300,msft
2025-03-18,387.07000732421875,387.3699951171875,381.1000061035156,383.5199890136719,383.5199890136719,19486900,msft
2025-03-19,385.5299987792969,389.67999267578125,384.0,387.82000732421875,387.82000732421875,19185500,msft
2025-03-20,385.739990234375,391.7900085449219,383.2799987792969,386.8399963378906,386.8399963378906,18470500,msft
2025-03-21,383.2200012207031,391.739990234375,382.79998779296875,391.260009765625,391.260009765625,39675900,msft
2025-03-24,395.3999938964844,395.3999938964844,389.80999755859375,393.0799865722656,393.0799865722656,21004500,msft
2025-03-25,393.9200134277344,396.3599853515625,392.6400146484375,395.1600036621094,395.1600036621094,15775000,msft
2025-03-26,395.0,395.30999755859375,388.57000732421875,389.9700012207031,389.9700012207031,16108400,msft
2025-03-27,390.1300048828125,392.239990234375,387.3999938964844,390.5799865722656,390.5799865722656,13766800,msft
2025-03-28,388.0799865722656,389.1300048828125,376.92999267578125,378.79998779296875,378.79998779296875,21632000,msft
2025-03-31,372.5400085449219,377.07000732421875,367.239990234375,375.3900146484375,375.3900146484375,35184700,msft
2025-04-01,374.6499938964844,382.8500061035156,373.2300109863281,382.19000244140625,382.19000244140625,19689500,msft
2025-04-02,377.9700012207031,385.0799865722656,376.6199951171875,382.1400146484375,382.1400146484375,16092600,msft
2025-04-03,374.7900085449219,377.4800109863281,369.3500061035156,373.1099853515625,373.1099853515625,30198000,msft
2025-04-04,364.1300048828125,374.5899963378906,359.4800109863281,359.8399963378906,359.8399963378906,49209900,msft
2025-04-07,350.8800048828125,371.0,344.7900085449219,357.8599853515625,357.8599853515625,50425000,msft
2025-04-08,368.260009765625,373.6499938964844,350.25,354.55999755859375,354.55999755859375,35868900,msft
2025-04-09,353.5400085449219,393.2300109863281,353.1000061035156,390.489990234375,390.489990234375,50199700,msft
2025-04-10,382.05999755859375,383.8999938964844,367.79998779296875,381.3500061035156,381.3500061035156,38024400,msft
2025-04-11,380.6400146484375,390.04998779296875,378.8900146484375,388.45001220703125,388.45001220703125,23839200,msft
2025-04-14,393.2200012207031,394.6499938964844,384.2099914550781,387.80999755859375,387.80999755859375,19234100,msft
